id,steps,stage,time
246,461,1,25/12/2024
247,457,1,25/12/2024
248,454,1,25/12/2024
249,462,1,25/12/2024
250,457,1,25/12/2024
251,453,1,25/12/2024
252,467,1,25/12/2024
253,462,1,25/12/2024
254,459,1,25/12/2024
255,462,1,25/12/2024
256,464,1,25/12/2024
257,457,1,25/12/2024
258,458,1,25/12/2024
259,528,1,25/12/2024
260,477,1,25/12/2024
261,463,1,25/12/2024
262,456,1,25/12/2024
263,458,1,25/12/2024
264,447,1,25/12/2024
265,452,1,25/12/2024
266,471,1,25/12/2024
267,467,1,25/12/2024
268,464,1,25/12/2024
269,447,1,25/12/2024
270,452,1,25/12/2024
271,447,1,25/12/2024
272,498,1,25/12/2024
273,491,1,25/12/2024
274,481,1,25/12/2024
275,456,1,25/12/2024
276,462,1,25/12/2024
277,454,1,25/12/2024
278,462,1,25/12/2024
279,469,1,25/12/2024
280,449,1,25/12/2024
281,458,1,25/12/2024
282,455,1,25/12/2024
283,449,1,25/12/2024
284,455,1,25/12/2024
285,448,1,25/12/2024
286,435,1,25/12/2024
287,453,1,25/12/2024
288,444,1,25/12/2024
289,459,1,25/12/2024
290,460,1,25/12/2024
291,448,1,25/12/2024
292,543,1,25/12/2024
293,425,1,25/12/2024
294,428,1,25/12/2024
295,454,1,25/12/2024
296,451,1,25/12/2024
297,462,1,25/12/2024
298,436,1,25/12/2024
299,459,1,25/12/2024
300,498,1,25/12/2024
301,423,1,25/12/2024
302,441,1,25/12/2024
303,617,1,25/12/2024
304,470,1,25/12/2024
305,483,1,25/12/2024
306,441,1,25/12/2024
307,432,1,25/12/2024
308,440,1,25/12/2024
309,437,1,25/12/2024
310,448,1,25/12/2024
311,437,1,25/12/2024
312,446,1,25/12/2024
313,448,1,25/12/2024
314,436,1,25/12/2024
315,445,1,25/12/2024
316,434,1,25/12/2024
317,488,1,25/12/2024
318,454,1,25/12/2024
319,425,1,25/12/2024
320,477,1,25/12/2024
321,467,1,25/12/2024
322,445,1,25/12/2024
323,496,1,25/12/2024
324,441,1,25/12/2024
325,430,1,25/12/2024
326,439,1,25/12/2024
327,438,1,25/12/2024
328,430,1,25/12/2024
329,451,1,25/12/2024
330,434,1,25/12/2024
331,552,1,25/12/2024
332,445,1,25/12/2024
333,440,1,25/12/2024
334,427,1,25/12/2024
335,446,1,25/12/2024
336,451,1,25/12/2024
337,429,1,25/12/2024
338,444,1,25/12/2024
339,429,1,25/12/2024
340,441,1,25/12/2024
341,427,1,25/12/2024
342,413,1,25/12/2024
343,427,1,25/12/2024
344,432,1,25/12/2024
345,425,1,25/12/2024
346,419,1,25/12/2024
347,420,1,25/12/2024
348,433,1,25/12/2024
349,511,1,25/12/2024
350,407,1,25/12/2024
351,428,1,25/12/2024
352,419,1,25/12/2024
353,441,1,25/12/2024
354,421,1,25/12/2024
355,444,1,25/12/2024
356,439,1,25/12/2024
357,450,1,25/12/2024
358,420,1,25/12/2024
359,414,1,25/12/2024
360,425,1,25/12/2024
361,431,1,25/12/2024
362,455,1,25/12/2024
363,432,1,25/12/2024
364,522,1,25/12/2024
365,475,1,25/12/2024
366,441,1,25/12/2024
367,438,1,25/12/2024
368,437,1,25/12/2024
369,444,1,25/12/2024
370,424,1,25/12/2024
371,421,1,25/12/2024
372,450,1,25/12/2024
373,436,1,25/12/2024
374,423,1,25/12/2024
375,420,1,25/12/2024
376,425,1,25/12/2024
377,414,1,25/12/2024
378,415,1,25/12/2024
379,448,1,25/12/2024
380,432,1,25/12/2024
381,417,1,25/12/2024
382,431,1,25/12/2024
383,436,1,25/12/2024
384,425,1,25/12/2024
385,435,1,25/12/2024
386,401,1,25/12/2024
387,393,1,25/12/2024
388,473,1,25/12/2024
389,450,1,25/12/2024
390,403,1,25/12/2024
391,404,1,25/12/2024
392,417,1,25/12/2024
393,400,1,25/12/2024
394,413,1,25/12/2024
395,407,1,25/12/2024
396,401,1,25/12/2024
397,400,1,25/12/2024
398,405,1,25/12/2024
399,432,1,25/12/2024
400,423,1,25/12/2024
401,401,1,25/12/2024
402,396,1,25/12/2024
403,391,1,25/12/2024
404,418,1,25/12/2024
405,413,1,25/12/2024
406,401,1,25/12/2024
407,403,1,25/12/2024
408,432,1,25/12/2024
409,397,1,25/12/2024
410,399,1,25/12/2024
411,392,1,25/12/2024
412,403,1,25/12/2024
413,412,1,25/12/2024
414,405,1,25/12/2024
415,417,1,25/12/2024
416,403,1,25/12/2024
417,402,1,25/12/2024
418,425,1,25/12/2024
419,415,1,25/12/2024
