episode,final position x,final position y,success,time taken
0,-0.214881263110795,0.0889125023207862,0,0 days 00:00:06.194612
1,-0.2064804106071359,-0.047027299558276,0,0 days 00:00:04.997292
2,1.0292787949026432,0.2306411605371665,1,0 days 00:00:13.964210
3,0.880905157316013,0.2009813399539932,1,0 days 00:00:12.108830
4,0.8733393268529073,0.2031213844277681,1,0 days 00:00:31.061430
5,-0.2198839050081387,0.0664265171477122,0,0 days 00:00:04.744128
6,-0.0787642789843231,-0.1898691351739329,0,0 days 00:00:08.418933
7,0.9668255665478108,0.2330052988172908,1,0 days 00:00:15.433542
8,1.0153143707000658,0.2331315917952995,1,0 days 00:00:22.082609
9,-1.0000634785187437,0.0002567927694981,1,0 days 00:00:00.051569
10,-0.2492538895774879,-0.0152407159944527,0,0 days 00:00:05.563114
11,0.070130774490204,-0.204694055460003,0,0 days 00:00:11.232131
12,0.937574185071616,0.2295746272300355,1,0 days 00:00:37.239450
13,-0.1954807684559113,-0.1059359002676191,0,0 days 00:00:06.747633
14,0.2254781467831105,0.0308749304801661,0,0 days 00:00:15.105580
15,-0.1293195100184722,-0.1299040006393246,0,0 days 00:00:07.179259
16,-0.1263381595340482,0.2460978287028476,0,0 days 00:00:06.047497
17,-0.2088376684547856,0.091117707641038,0,0 days 00:00:05.430558
18,1.0393172570451588,0.2365028006450561,1,0 days 00:00:12.731174
19,0.981158146826392,0.2329770881170496,1,0 days 00:00:12.887238
20,-0.0531350810438356,-0.1920318470305495,0,0 days 00:00:11.734476
21,-0.1825134115249917,-0.0469919688432556,0,0 days 00:00:04.991004
22,-0.2300090826036615,-0.0318674649558911,0,0 days 00:00:05.847046
23,1.0208774907420308,0.2348181394687841,1,0 days 00:00:15.436598
24,-0.1032356661037146,-0.1993438423930957,0,0 days 00:00:16.079272
25,0.9892862780496944,0.2371029392488993,1,0 days 00:00:13.682941
26,0.9796768892006836,0.2363818847368626,1,0 days 00:00:17.224835
27,-0.1733972741076059,-0.1291627074914309,0,0 days 00:00:06.060451
28,-0.0967624017328865,-0.1953642987581045,0,0 days 00:00:08.225281
29,-0.2272046992647704,-0.0046192644605958,0,0 days 00:00:04.773064
30,0.9859406928926342,0.2325311101373492,1,0 days 00:00:22.409841
31,-0.1862334354123158,-0.0958042999712803,0,0 days 00:00:05.525949
32,0.2546302187990059,0.0567451914920894,0,0 days 00:00:14.632281
33,-0.0726766568037998,-0.207110570484006,0,0 days 00:00:08.809878
34,0.0004094315237183,-0.1954813338729484,0,0 days 00:00:15.467891
35,0.95141626623142,0.2283016239138597,1,0 days 00:00:12.619119
36,-0.2142157798150149,-0.0492735538625737,0,0 days 00:00:04.631620
37,-0.2015312208425475,-0.0642736701282444,0,0 days 00:00:05.448193
38,-0.1485898777972676,0.2052165313995068,0,0 days 00:00:18.067977
39,-0.2081958807518595,0.0134750185364068,0,0 days 00:00:04.821048
40,-0.222949139692464,-0.0595642415818973,0,0 days 00:00:05.389233
41,-0.0681250965547745,-0.1958417920954065,0,0 days 00:00:08.019316
42,-0.2077250321357037,-0.0106032812244318,0,0 days 00:00:04.830041
43,-0.2458091690609237,0.0583963400782114,0,0 days 00:00:08.801242
44,-0.1658476897566471,-0.1642134293785579,0,0 days 00:00:06.012169
45,-0.1895263997652625,-0.0442772569221123,0,0 days 00:00:05.042406
46,-0.1801651531291646,-0.1076611870446865,0,0 days 00:00:07.434616
47,-0.1687075631355689,-0.1215034279715084,0,0 days 00:00:05.778434
48,-0.1828690213502175,-0.0965437899890642,0,0 days 00:00:05.619598
49,-0.0779764446641877,-0.1901963344488248,0,0 days 00:00:09.659248
50,0.7622750436212267,0.0399322519149069,1,0 days 00:00:21.693862
51,-0.1601454824762294,-0.1104580989763651,0,0 days 00:00:06.793206
52,-0.1785850272671066,-0.0915499421549378,0,0 days 00:00:05.035561
53,0.0151371210795343,-0.1839706871621061,0,0 days 00:00:12.462530
54,-0.2325233935306213,-0.0395393481829796,0,0 days 00:00:04.983108
55,-0.0139260140334935,-0.1870164243868183,0,0 days 00:00:09.237822
56,-0.2136207933505017,-0.0602911859814193,0,0 days 00:00:04.985818
57,-0.1908539190289835,-0.0552890596828443,0,0 days 00:00:05.040930
58,0.0703781623791619,-0.1962734364802174,0,0 days 00:00:12.425411
59,-0.2027878195882915,-0.0581183185278045,0,0 days 00:00:06.217794
60,-0.2228683787848413,-0.025483544027905,0,0 days 00:00:04.611502
61,-0.1645944645730532,0.1766943540348728,0,0 days 00:00:05.001222
62,-0.1413875986130549,-0.1277091797863224,0,0 days 00:00:06.619517
63,-0.1740323933235557,-0.1119360109102747,0,0 days 00:00:05.616295
64,-0.1296545504078712,-0.1610929738463886,0,0 days 00:00:08.837611
65,-0.2279436151979829,-0.0439133944846994,0,0 days 00:00:05.008088
66,1.0214284880582882,0.2419347794153449,1,0 days 00:00:16.255621
67,0.1723654617367567,-0.1342289951370139,0,0 days 00:00:13.486670
68,1.022722816826904,0.2354713933335392,1,0 days 00:00:25.536001
69,0.973669107488608,0.2345679454678285,1,0 days 00:00:13.152957
70,-0.2130650789701656,0.0156520487154126,0,0 days 00:00:04.467121
71,-0.2448477402311589,0.0195199558694816,0,0 days 00:00:04.795767
72,-0.2116338786952802,-0.0067585963097679,0,0 days 00:00:04.419816
73,-0.2466796215759579,-0.0561201982921591,0,0 days 00:00:05.859709
74,-0.1577812516426712,-0.129922173701235,0,0 days 00:00:06.700424
75,-0.1919478340438142,-0.0600888582000987,0,0 days 00:00:05.203347
76,-0.1853119391252489,-0.1039540927048736,0,0 days 00:00:06.835405
77,1.0505682888780126,0.2337659789732422,1,0 days 00:00:14.703271
78,1.088645307631868,0.2249481268147969,1,0 days 00:00:14.616461
79,0.04378644016441627,-0.18952162364567637,0,0 days 00:00:10.686260
80,0.8879951051289826,0.20930607463029588,1,0 days 00:00:19.350625
81,-0.999772919920646,0.00034025044848600295,1,0 days 00:00:00.052537
82,0.9944936358474877,0.23638786729646125,1,0 days 00:00:32.725923
83,1.0604820406625226,0.23780670633857423,1,0 days 00:00:14.735562
84,-0.10680298146573089,0.22671980462172472,0,0 days 00:00:15.033289
85,-0.21994905386711808,-0.004761110948519945,0,0 days 00:00:04.781721
