episode,final position x,final position y,success,time taken
0,-0.21221464595920556,-0.02263257656105534,0,0 days 00:00:04.808907
1,-0.183310597773229,0.1762990132764715,0,0 days 00:00:10.253859
2,-0.21817246281244568,-0.03797257331207112,0,0 days 00:00:04.578025
3,-0.28268420199534133,0.10585296187001078,0,0 days 00:00:04.841334
4,-0.20624141026617038,-0.05666858089820356,0,0 days 00:00:04.987815
5,1.1881917528428219,0.15373035721911238,1,0 days 00:00:17.894462
6,-0.1976208869668008,0.0012883206834542063,0,0 days 00:00:04.795546
7,0.9636407463748334,0.24200240500494402,1,0 days 00:00:19.788306
8,-0.20640965856868188,0.0048270101027353485,0,0 days 00:00:04.684933
9,-0.19975784402043484,-0.03038792454613312,0,0 days 00:00:04.781399
10,1.006778316651763,0.23427565515096824,1,0 days 00:00:19.086520
11,-0.2117444093026423,0.003546184406820507,0,0 days 00:00:04.584382
12,-0.22340316963449272,0.01615622406836233,0,0 days 00:00:04.629091
13,1.0054821568869177,0.23976124808567897,1,0 days 00:00:21.736532
14,-0.22049062884397957,-0.022950665131470288,0,0 days 00:00:04.527783
15,-0.21300043114782405,0.016318334714153362,0,0 days 00:00:04.827898
16,-0.21436983427873502,-0.07575903735567627,0,0 days 00:00:04.782675
17,-0.25159875406457066,0.0036685270953236947,0,0 days 00:00:04.840503
18,-0.21412731507395938,-0.04010476992313051,0,0 days 00:00:04.785118
19,-0.20897718867074352,0.016059513238886096,0,0 days 00:00:04.623849
20,-0.18661616986540078,-0.059139369026189714,0,0 days 00:00:05.007000
21,-0.18829171317348128,-0.047111720954375026,0,0 days 00:00:04.791182
22,-0.19606871272105852,-0.015207732059156338,0,0 days 00:00:04.595597
23,-0.22184281861194247,-0.06833070480369106,0,0 days 00:00:05.212596
24,-0.18944355480477007,-0.016280859846593505,0,0 days 00:00:04.844135
25,-0.20747394906076053,0.03529973262263443,0,0 days 00:00:05.014789
26,-0.20672264318976416,-0.022710188013566092,0,0 days 00:00:04.991579
27,-0.20459897865683838,-0.009598828035509021,0,0 days 00:00:04.804729
28,-0.21342975890434032,-0.05251141214149022,0,0 days 00:00:05.013339
29,-0.18975953207086338,-0.027885271624133123,0,0 days 00:00:04.575281
30,-0.22644022344428413,-0.0016692311025540158,0,0 days 00:00:05.049560
31,-0.19244920850575967,-0.019782766206385995,0,0 days 00:00:04.575699
32,-0.19959428803796872,-0.05834745031109028,0,0 days 00:00:05.005108
33,-0.21351382215661083,-0.044345808863803904,0,0 days 00:00:04.837043
34,-0.22215908868678147,-0.025235947125871204,0,0 days 00:00:04.579905
35,-0.19384745483793037,-0.022851767115548396,0,0 days 00:00:05.047537
36,-0.18666521587755955,-0.041630990338082874,0,0 days 00:00:04.989823
37,-0.20668031287156705,-0.0077010668593119926,0,0 days 00:00:04.826525
38,-0.20700791079637545,-0.04941241293316664,0,0 days 00:00:04.773598
39,1.1684460401165104,0.17278678320201454,1,0 days 00:00:16.798800
40,-0.24310091694885105,0.015657667494778246,0,0 days 00:00:04.888282
41,-0.22499252048107102,-0.03916606475064831,0,0 days 00:00:05.010736
