episode,final position x,final position y,success,time taken
0,-0.21488126311079503,0.08891250232078625,0,0 days 00:00:06.194612
1,-0.20648041060713593,-0.04702729955827607,0,0 days 00:00:04.997292
2,1.0292787949026432,0.2306411605371665,1,0 days 00:00:13.964210
3,0.880905157316013,0.2009813399539932,1,0 days 00:00:12.108830
4,0.8733393268529073,0.2031213844277681,1,0 days 00:00:31.061430
5,-0.21988390500813876,0.06642651714771228,0,0 days 00:00:04.744128
6,-0.07876427898432314,-0.1898691351739329,0,0 days 00:00:08.418933
7,0.9668255665478108,0.23300529881729082,1,0 days 00:00:15.433542
8,1.0153143707000658,0.2331315917952995,1,0 days 00:00:22.082609
9,-1.0000634785187437,0.00025679276949814103,1,0 days 00:00:00.051569
10,-0.24925388957748798,-0.015240715994452776,0,0 days 00:00:05.563114
11,0.07013077449020404,-0.20469405546000308,0,0 days 00:00:11.232131
12,0.937574185071616,0.22957462723003555,1,0 days 00:00:37.239450
13,-0.19548076845591136,-0.10593590026761918,0,0 days 00:00:06.747633
14,0.22547814678311054,0.030874930480166166,0,0 days 00:00:15.105580
15,-0.12931951001847222,-0.12990400063932464,0,0 days 00:00:07.179259
16,-0.12633815953404826,0.24609782870284766,0,0 days 00:00:06.047497
17,-0.20883766845478569,0.091117707641038,0,0 days 00:00:05.430558
18,1.0393172570451588,0.2365028006450561,1,0 days 00:00:12.731174
19,0.9811581468263921,0.2329770881170496,1,0 days 00:00:12.887238
20,-0.05313508104383563,-0.1920318470305495,0,0 days 00:00:11.734476
21,-0.1825134115249917,-0.04699196884325561,0,0 days 00:00:04.991004
22,-0.23000908260366154,-0.0318674649558911,0,0 days 00:00:05.847046
23,1.0208774907420308,0.23481813946878416,1,0 days 00:00:15.436598
24,-0.10323566610371464,-0.19934384239309577,0,0 days 00:00:16.079272
25,0.9892862780496943,0.23710293924889933,1,0 days 00:00:13.682941
26,0.9796768892006836,0.23638188473686267,1,0 days 00:00:17.224835
27,-0.17339727410760594,-0.1291627074914309,0,0 days 00:00:06.060451
28,-0.09676240173288653,-0.1953642987581045,0,0 days 00:00:08.225281
29,-0.2272046992647704,-0.004619264460595881,0,0 days 00:00:04.773064
30,0.9859406928926342,0.23253111013734926,1,0 days 00:00:22.409841
31,-0.1862334354123158,-0.09580429997128032,0,0 days 00:00:05.525949
32,0.25463021879900594,0.05674519149208942,0,0 days 00:00:14.632281
33,-0.07267665680379984,-0.20711057048400605,0,0 days 00:00:08.809878
34,0.00040943152371836493,-0.19548133387294847,0,0 days 00:00:15.467891
35,0.95141626623142,0.22830162391385972,1,0 days 00:00:12.619119
36,-0.21421577981501494,-0.04927355386257379,0,0 days 00:00:04.631620
37,-0.2015312208425475,-0.06427367012824449,0,0 days 00:00:05.448193
38,-0.14858987779726762,0.20521653139950682,0,0 days 00:00:18.067977
39,-0.2081958807518595,0.013475018536406824,0,0 days 00:00:04.821048
40,-0.222949139692464,-0.059564241581897326,0,0 days 00:00:05.389233
41,-0.06812509655477454,-0.19584179209540656,0,0 days 00:00:08.019316
42,-0.2077250321357037,-0.010603281224431809,0,0 days 00:00:04.830041
43,-0.24580916906092373,0.05839634007821143,0,0 days 00:00:08.801242
44,-0.16584768975664718,-0.16421342937855798,0,0 days 00:00:06.012169
45,-0.18952639976526256,-0.044277256922112374,0,0 days 00:00:05.042406
46,-0.18016515312916465,-0.10766118704468657,0,0 days 00:00:07.434616
47,-0.16870756313556898,-0.12150342797150845,0,0 days 00:00:05.778434
48,-0.18286902135021757,-0.09654378998906425,0,0 days 00:00:05.619598
49,-0.07797644466418774,-0.19019633444882483,0,0 days 00:00:09.659248
50,0.7622750436212267,0.03993225191490698,1,0 days 00:00:21.693862
51,-0.16014548247622942,-0.11045809897636515,0,0 days 00:00:06.793206
52,-0.17858502726710662,-0.0915499421549378,0,0 days 00:00:05.035561
53,0.015137121079534348,-0.1839706871621061,0,0 days 00:00:12.462530
54,-0.23252339353062135,-0.03953934818297962,0,0 days 00:00:04.983108
55,-0.013926014033493559,-0.18701642438681834,0,0 days 00:00:09.237822
56,-0.21362079335050177,-0.06029118598141935,0,0 days 00:00:04.985818
57,-0.19085391902898358,-0.05528905968284433,0,0 days 00:00:05.040930
58,0.07037816237916195,-0.19627343648021742,0,0 days 00:00:12.425411
59,-0.20278781958829153,-0.05811831852780456,0,0 days 00:00:06.217794
60,-0.22286837878484134,-0.025483544027905036,0,0 days 00:00:04.611502
61,-0.16459446457305327,0.17669435403487282,0,0 days 00:00:05.001222
62,-0.14138759861305494,-0.12770917978632249,0,0 days 00:00:06.619517
63,-0.1740323933235557,-0.1119360109102747,0,0 days 00:00:05.616295
64,-0.12965455040787122,-0.1610929738463886,0,0 days 00:00:08.837611
65,-0.2279436151979829,-0.04391339448469948,0,0 days 00:00:05.008088
66,1.0214284880582882,0.24193477941534497,1,0 days 00:00:16.255621
67,0.1723654617367567,-0.13422899513701397,0,0 days 00:00:13.486670
68,1.022722816826904,0.2354713933335392,1,0 days 00:00:25.536001
69,0.973669107488608,0.23456794546782858,1,0 days 00:00:13.152957
70,-0.2130650789701656,0.01565204871541262,0,0 days 00:00:04.467121
71,-0.2448477402311589,0.019519955869481603,0,0 days 00:00:04.795767
72,-0.21163387869528028,-0.006758596309767988,0,0 days 00:00:04.419816
