episode,final position x,final position y,success
0.0,1.862481050452373,0.3556893645874342,1.0
1.0,1.9074209073659647,0.35307330898207673,1.0
2.0,1.8871902899028017,0.3538230365871968,1.0
3.0,1.8210597394026877,0.38865331421899457,1.0
4.0,1.8997994902696977,0.344695969516785,1.0
5.0,1.8735803384336807,0.36237325564120676,1.0
6.0,1.9143090764209403,0.34116720353663404,1.0
7.0,1.8100014339495836,0.38582509758223454,1.0
8.0,1.8343529897283966,0.3821846834832896,1.0
9.0,1.89225204226222,0.35592399877372216,1.0
10.0,1.8800840305977689,0.35587557071441284,1.0
11.0,1.8487750642689098,0.3699380274484756,1.0
12.0,1.8419402874826678,0.3727119498218486,1.0
13.0,1.8920368650176833,0.3508709026649725,1.0
14.0,1.8679682149142562,0.3624368282719572,1.0
15.0,1.8067043589291263,0.3789740305840015,1.0
16.0,1.7875931502850622,0.38298558305762176,1.0
17.0,1.8356163503790561,0.3753740834069112,1.0
18.0,1.9053497067501348,0.34222682143904354,1.0
19.0,1.841750231641827,0.36873582335021365,1.0
20.0,1.8679062445749488,0.3545091571882524,1.0
21.0,1.8033989326939222,0.3782389442698862,1.0
22.0,0.0734586124281454,1.156959503392433,0.0
23.0,1.825998512814553,0.37550422421135804,1.0
24.0,1.8788018206806056,0.34639903048353077,1.0
25.0,1.7576931996491216,0.3803591425918267,1.0
26.0,0.04962482064586592,0.9320211414348722,0.0
27.0,1.8627129472552637,0.3731913767066294,1.0
28.0,1.9046745695249054,0.34481323394828534,1.0
29.0,1.8801657685022557,0.36580909189938965,1.0
30.0,1.8566234135294675,0.3630305640435967,1.0
31.0,1.8701240993138402,0.3587302011278803,1.0
32.0,1.8638142817731946,0.364449960796069,1.0
33.0,1.8981037608421196,0.3409109654252215,1.0
34.0,1.8861437310226266,0.35641545190947155,1.0
35.0,1.8821015686649913,0.36101627604813447,1.0
36.0,1.8982009591184785,0.3468319536403222,1.0
37.0,1.7907910968310963,0.37829881243541985,1.0
38.0,1.7964057230445958,0.383039476032004,1.0
39.0,1.8133535304856079,0.38480666337859415,1.0
40.0,1.7436645492871705,0.39499559121736166,1.0
41.0,1.8877562466293243,0.34995919420767385,1.0
42.0,0.8125611096277509,1.9842621907914473,0.0
43.0,1.8231922630973492,0.38155036246841084,1.0
44.0,1.9041901542461481,0.34506186462516025,1.0
45.0,1.8083306871143494,0.38671264963107793,1.0
46.0,1.8223071290979562,0.38542549837383266,1.0
47.0,0.020343908805279396,1.0445078268308678,0.0
48.0,1.8167395522892165,0.3805577436743404,1.0
49.0,1.881943130797246,0.3585161209331404,1.0
50.0,1.8824157611741694,0.35264934271018417,1.0
51.0,1.904303493990885,0.34520699941107036,1.0
52.0,1.8114805312696394,0.3839847966945675,1.0
53.0,1.8725613748275993,0.35714743214677064,1.0
54.0,0.05146575523031596,1.070871222823042,0.0
55.0,1.8952356242883992,0.3541655722298268,1.0
56.0,1.8817644542707443,0.35268842587113797,1.0
57.0,1.870934382385984,0.3625392014899568,1.0
58.0,1.8390843279617073,0.3794172822135304,1.0
59.0,1.9049189141449634,0.349447119967021,1.0
60.0,0.004651397889891347,0.9197216778037242,0.0
61.0,1.902770842677719,0.3560843760048166,1.0
62.0,1.9032183205161233,0.34619200736743533,1.0
63.0,1.9122275941751103,0.3468147613526152,1.0
64.0,1.8422764736733488,0.3682025066672945,1.0
65.0,1.909082591154671,0.3410255700982329,1.0
66.0,1.847672576351484,0.3718771594755963,1.0
67.0,0.8778484343041455,2.085625598490995,0.0
68.0,1.8203711870368173,0.38012424543379175,1.0
69.0,1.8703286374876573,0.3697037320701757,1.0
70.0,0.041391510384043796,1.0177980464835208,0.0
71.0,1.886689769208714,0.350450172385628,1.0
72.0,1.8734977757814102,0.35820429305425566,1.0
73.0,1.832958461007536,0.36932693409901685,1.0
74.0,1.8928116485401916,0.3487421916694973,1.0
75.0,1.8927547268237603,0.3501462261967502,1.0
76.0,1.8701191168183728,0.3645135967193824,1.0
77.0,1.8120256665723213,0.3832363382597266,1.0
78.0,1.81200501858407,0.3803129837758574,1.0
79.0,1.8191014630572135,0.38242601413872296,1.0
80.0,1.7972356498578017,0.3872539006209244,1.0
81.0,1.8750035805674286,0.3534320168701194,1.0
82.0,1.789754750097156,0.3888951723842088,1.0
83.0,0.8318023897640306,2.005488068465397,0.0
84.0,1.8980342673463617,0.34555030389234304,1.0
85.0,1.8147216951066283,0.37536815681030034,1.0
86.0,0.05101336749423083,1.1162168094140554,0.0
87.0,1.7944537110835526,0.3806202825917888,1.0
88.0,1.8942619838093315,0.359583831876638,1.0
89.0,1.7858023896910438,0.37771975663310875,1.0
